dimension,smp_mean_delta,smp_std_delta,ai_base_mean_delta,ai_base_std_delta,difference_ai_minus_smp,abs_difference,cohens_d,discrimination_rank
536,1.162223,0.975825,1.582471,1.210833,0.420248,0.420248,0.382174,382
587,0.980271,0.831560,1.400491,1.049364,0.420219,0.420219,0.443856,383
283,1.034083,0.916331,1.453800,1.099940,0.419717,0.419717,0.414614,384
842,1.206066,0.945977,1.625470,1.281824,0.419404,0.419404,0.372311,385
34,1.083538,0.872844,1.502750,1.167264,0.419212,0.419212,0.406756,386
954,1.122796,0.912497,1.541469,1.176964,0.418673,0.418673,0.397575,387
630,1.127979,0.934673,1.546336,1.139127,0.418357,0.418357,0.401522,388
629,1.993820,1.699609,2.412016,1.849209,0.418196,0.418196,0.235473,389
101,1.066939,0.934249,1.484428,1.089927,0.417489,0.417489,0.411288,390
786,1.089116,0.966788,1.506355,1.156752,0.417239,0.417239,0.391403,391
358,1.015690,0.820868,1.432397,1.089950,0.416707,0.416707,0.431894,392
771,0.889071,0.698119,1.305645,1.007822,0.416574,0.416574,0.480526,393
806,1.101240,0.936531,1.517660,1.143407,0.416421,0.416421,0.398450,394
181,1.105300,1.071939,1.521715,1.126813,0.416415,0.416415,0.378657,395
940,1.378861,1.195382,1.794841,1.318172,0.415980,0.415980,0.330595,396
929,1.053595,0.851386,1.469346,1.182364,0.415751,0.415751,0.403542,397
12,1.123181,0.993297,1.538657,1.176181,0.415476,0.415476,0.381666,398
178,1.097812,0.959632,1.511961,1.156923,0.414150,0.414150,0.389654,399
950,1.223347,1.035277,1.637036,1.219955,0.413689,0.413689,0.365647,400
800,0.942561,0.753116,1.355586,1.041425,0.413025,0.413025,0.454485,401
327,0.931015,0.884562,1.343889,1.034639,0.412875,0.412875,0.428948,402
849,1.005879,0.831706,1.418751,1.064892,0.412871,0.412871,0.432127,403
463,1.196547,0.959105,1.609175,1.251989,0.412627,0.412627,0.370002,404
127,1.214563,1.055205,1.626998,1.228649,0.412435,0.412435,0.360137,405
616,1.064243,0.881079,1.476476,1.136794,0.412233,0.412233,0.405340,406
180,1.189316,0.984450,1.601080,1.167507,0.411763,0.411763,0.381310,407
558,0.939388,0.795857,1.351103,1.035661,0.411716,0.411716,0.445785,408
912,0.879649,0.720649,1.291216,0.981777,0.411566,0.411566,0.477917,409
37,0.844953,0.741827,1.256172,0.933933,0.411220,0.411220,0.487593,410
220,0.974158,0.817746,1.384754,1.074852,0.410596,0.410596,0.429948,411
658,1.016240,0.865729,1.426262,1.079139,0.410022,0.410022,0.419129,412
7,0.887147,0.735138,1.297081,1.023335,0.409935,0.409935,0.460101,413
545,0.959187,0.774207,1.368734,1.057937,0.409547,0.409547,0.441802,414
236,1.396115,1.111455,1.805622,1.386560,0.409507,0.409507,0.325895,415
902,0.865586,0.786574,1.274305,0.966467,0.408719,0.408719,0.463861,416
203,1.047325,0.890018,1.455964,1.121563,0.408640,0.408640,0.403622,417
24,1.086498,0.900763,1.494731,1.123676,0.408233,0.408233,0.400882,418
318,0.975428,0.839355,1.383312,1.062492,0.407884,0.407884,0.426012,419
79,1.054421,0.866463,1.462184,1.118581,0.407762,0.407762,0.407561,420
52,0.983220,0.803993,1.390445,1.057446,0.407225,0.407225,0.433538,421
405,0.906512,0.756531,1.313630,0.993965,0.407118,0.407118,0.460926,422
999,1.520393,1.202059,1.926716,1.463407,0.406323,0.406323,0.303425,423
320,1.072790,0.874041,1.478316,1.099517,0.405526,0.405526,0.408303,424
120,1.041471,0.890972,1.446779,1.102874,0.405308,0.405308,0.404283,425
453,0.934984,0.757288,1.338949,1.030820,0.403966,0.403966,0.446640,426
515,1.021488,0.886945,1.425405,1.034685,0.403917,0.403917,0.419154,427
27,0.985336,0.792491,1.389074,1.046607,0.403738,0.403738,0.434929,428
21,0.909048,0.796960,1.312661,1.015378,0.403613,0.403613,0.442206,429
102,1.014512,0.839595,1.417144,1.062302,0.402632,0.402632,0.420527,430
917,1.248885,0.988574,1.651424,1.260368,0.402539,0.402539,0.355395,431
669,1.000842,0.846423,1.403342,1.074966,0.402500,0.402500,0.416035,432
753,1.008342,0.818203,1.410629,1.058619,0.402286,0.402286,0.425214,433
845,0.989727,0.809857,1.391902,1.056589,0.402175,0.402175,0.427236,434
403,1.055161,0.867696,1.457257,1.055261,0.402095,0.402095,0.416230,435
