pair_idx,pitch_semi,tempo_bpm,mean_delta,broad_cat
4134,,110,0.830342,2. Original + DSP
4135,,110,0.840159,2. Original + DSP
4136,,90,0.857171,2. Original + DSP
4141,,90,0.844467,2. Original + DSP
4142,,95,0.822679,2. Original + DSP
4143,,105,0.827432,2. Original + DSP
4144,,110,0.640284,2. Original + DSP
4145,,110,0.669466,2. Original + DSP
4146,,90,0.951015,2. Original + DSP
4151,,90,0.944579,2. Original + DSP
4152,,95,1.008243,2. Original + DSP
4153,,105,1.003382,2. Original + DSP
4154,,110,0.942736,2. Original + DSP
4155,,110,0.809516,2. Original + DSP
4156,,90,0.878951,2. Original + DSP
4161,,90,0.500772,2. Original + DSP
4162,,95,0.342338,2. Original + DSP
4163,,105,1.078492,2. Original + DSP
4164,,110,0.429767,2. Original + DSP
4165,,110,1.045272,2. Original + DSP
4166,,90,0.506165,2. Original + DSP
4171,,90,0.640207,2. Original + DSP
4172,,95,0.658509,2. Original + DSP
4173,,105,0.845443,2. Original + DSP
4174,,110,0.679009,2. Original + DSP
4175,,110,0.864534,2. Original + DSP
4176,,90,0.668598,2. Original + DSP
4181,,90,0.183292,2. Original + DSP
4182,,95,0.220828,2. Original + DSP
4183,,105,0.669239,2. Original + DSP
4184,,110,0.716273,2. Original + DSP
4185,,110,0.844613,2. Original + DSP
4186,,90,0.689688,2. Original + DSP
4191,,90,0.282148,2. Original + DSP
4192,,95,0.432105,2. Original + DSP
4193,,105,0.640071,2. Original + DSP
4194,,110,0.821496,2. Original + DSP
4195,,110,0.870960,2. Original + DSP
4196,,90,1.107787,2. Original + DSP
4201,,90,0.557595,2. Original + DSP
4202,,95,0.729734,2. Original + DSP
4203,,105,0.489327,2. Original + DSP
4204,,110,0.632037,2. Original + DSP
4205,,110,0.787845,2. Original + DSP
4206,,90,0.766613,2. Original + DSP
4211,,90,0.305870,2. Original + DSP
4212,,95,0.928315,2. Original + DSP
4213,,105,0.338515,2. Original + DSP
4214,,110,0.394645,2. Original + DSP
4215,,110,0.923079,2. Original + DSP
4216,,90,0.905610,2. Original + DSP
4221,,90,0.841966,2. Original + DSP
4222,,95,0.836915,2. Original + DSP
4223,,105,0.960773,2. Original + DSP
4224,,110,0.865716,2. Original + DSP
4225,,110,0.834235,2. Original + DSP
4226,,90,0.935986,2. Original + DSP
4231,,90,0.962987,2. Original + DSP
4232,,95,0.882354,2. Original + DSP
4233,,105,0.828017,2. Original + DSP
4234,,110,0.787134,2. Original + DSP
4235,,110,0.855532,2. Original + DSP
4236,,90,0.932223,2. Original + DSP
