dimension,ori_mean,ori_std,mod_mean_Human_Plagiarism_(Base),mod_std_Human_Plagiarism_(Base),shift_mean_Human_Plagiarism_(Base),shift_std_Human_Plagiarism_(Base),mod_mean_Human_Plagiarism_+_DSP,mod_std_Human_Plagiarism_+_DSP,shift_mean_Human_Plagiarism_+_DSP,shift_std_Human_Plagiarism_+_DSP,mod_mean_Original_+_DSP,mod_std_Original_+_DSP,shift_mean_Original_+_DSP,shift_std_Original_+_DSP,mod_mean_AI_Generation_(Base),mod_std_AI_Generation_(Base),shift_mean_AI_Generation_(Base),shift_std_AI_Generation_(Base),mod_mean_AI_+_DSP,mod_std_AI_+_DSP,shift_mean_AI_+_DSP,shift_std_AI_+_DSP
511,-0.521053,1.680988,-0.389478,1.476050,0.141293,1.576113,-0.340291,1.523820,0.195875,1.660596,-0.518894,1.646577,-0.009811,0.722692,-0.203609,1.441360,0.304587,2.104777,-0.280690,1.434448,0.225852,2.133046
512,-0.244998,1.256869,-0.197242,1.223077,0.022592,1.456942,-0.228393,1.174024,-0.013323,1.456851,-0.237386,1.260215,0.033446,0.638608,0.109208,1.146915,0.381178,1.627431,0.155113,1.152627,0.428717,1.648331
513,-0.415924,1.458410,-0.254781,1.293965,0.257875,1.473824,-0.302433,1.287727,0.205675,1.530104,-0.432068,1.372442,-0.104267,0.613908,-0.324790,1.379586,0.004744,1.799000,-0.434352,1.355797,-0.106152,1.833158
514,-0.079423,1.311463,0.046532,1.378918,0.099619,1.353029,0.034700,1.349414,0.088996,1.375837,-0.076914,1.334597,0.026247,0.631401,0.024282,1.288868,0.125674,1.760239,0.207072,1.339626,0.310695,1.823685
515,0.953615,1.377388,1.109749,1.358292,0.173850,1.341597,1.081650,1.396546,0.144194,1.387007,0.968217,1.424107,-0.001290,0.644972,0.453213,1.185315,-0.515302,1.684284,0.559903,1.195099,-0.409070,1.734247
516,-0.414587,1.599646,-0.507054,1.611559,-0.042738,1.382317,-0.480765,1.604525,-0.009701,1.486633,-0.368724,1.584346,-0.005736,0.658613,-0.192537,1.470783,0.168263,2.075382,-0.071416,1.487163,0.290266,2.098389
517,-0.596119,1.307610,-0.396553,1.445685,0.285100,1.274786,-0.338774,1.338018,0.331718,1.277436,-0.499188,1.230348,0.024023,0.602996,-0.479338,1.329275,0.045573,1.755355,-0.459331,1.257360,0.065652,1.733685
518,-0.147420,1.213450,-0.226959,1.255815,-0.111094,1.335924,-0.189193,1.243301,-0.069588,1.364642,-0.185460,1.227217,-0.010070,0.557336,0.453156,1.162362,0.627598,1.639193,0.399770,1.117451,0.573429,1.595054
519,0.088110,1.632508,-0.045180,1.882941,-0.168381,1.648402,-0.095792,1.764359,-0.220256,1.614538,0.024091,1.600583,-0.028475,0.761035,-0.421758,1.590624,-0.476936,2.162301,-0.251398,1.601250,-0.305658,2.236321
520,-0.452249,1.205155,-0.182817,1.278188,0.396695,1.419720,-0.171732,1.237303,0.412604,1.406210,-0.339449,1.239172,-0.011736,0.669438,-0.965687,1.388526,-0.637212,1.755972,-0.934007,1.353948,-0.606116,1.760666
521,-0.456890,1.108115,-0.580865,1.017886,-0.136836,1.134236,-0.575194,1.047242,-0.130406,1.212508,-0.501591,1.111837,-0.031670,0.551088,0.026865,1.077542,0.494352,1.483476,0.072218,1.091410,0.540173,1.502246
