category,rank,dimension,mean_delta,std_delta
Original + DSP,5,698,0.668510,0.642220
Original + DSP,6,4,0.662686,0.598168
Original + DSP,7,611,0.659907,0.579708
Original + DSP,8,640,0.657885,0.690058
Original + DSP,9,941,0.640529,0.585944
Original + DSP,10,612,0.639145,0.559168
Original + DSP,11,427,0.630792,0.564762
Original + DSP,12,629,0.629616,0.534896
Original + DSP,13,400,0.625934,0.586574
Original + DSP,14,45,0.614979,0.548406
Original + DSP,15,1001,0.611304,0.526709
Original + DSP,16,145,0.609723,0.545968
Original + DSP,17,47,0.609155,0.549788
Original + DSP,18,551,0.602836,0.526908
Original + DSP,19,501,0.601689,0.560851
Original + DSP,20,355,0.598397,0.555024
Original + DSP,21,184,0.597264,0.557550
Original + DSP,22,290,0.596260,0.547303
Original + DSP,23,259,0.593527,0.593033
Original + DSP,24,449,0.589088,0.555870
Original + DSP,25,562,0.587963,0.536236
Original + DSP,26,834,0.583256,0.513960
Original + DSP,27,193,0.582920,0.596334
Original + DSP,28,1006,0.579257,0.526022
Original + DSP,29,563,0.577947,0.550338
Original + DSP,30,999,0.576598,0.548127
