dimension,dsp_type,r2_linear
490,tempo,0.000051
491,tempo,0.000031
492,tempo,0.000087
493,tempo,0.000005
494,tempo,0.000295
495,tempo,0.000026
496,tempo,0.000045
497,tempo,0.000074
498,tempo,0.000106
499,tempo,0.000275
500,tempo,0.000000
501,tempo,0.000078
502,tempo,0.000368
503,tempo,0.000054
504,tempo,0.000013
505,tempo,0.000219
506,tempo,0.000031
507,tempo,0.000230
508,tempo,0.000078
509,tempo,0.000276
510,tempo,0.000122
511,tempo,0.000025
