category,rank,dimension,mean_delta,std_delta
tempo110,14,427,1.616525,1.341509
tempo110,15,995,1.604310,1.391171
tempo110,16,1001,1.601739,1.286353
tempo110,17,941,1.598899,1.347802
tempo110,18,834,1.596419,1.524927
tempo110,19,57,1.591975,1.330424
tempo110,20,563,1.545193,1.365932
tempo110,21,994,1.520392,1.300885
tempo110,22,612,1.519950,1.361339
tempo110,23,355,1.518827,1.240174
tempo110,24,632,1.511387,1.450542
tempo110,25,530,1.505501,1.185827
tempo110,26,305,1.502811,1.226027
tempo110,27,419,1.493786,1.367192
tempo110,28,47,1.492729,1.260029
tempo110,29,145,1.488558,1.247663
tempo110,30,443,1.483737,1.210355
