dimension,global_mean_delta,global_std_delta,global_median_delta,global_max_delta,cross_category_std,cross_category_mean,mean_delta_Human Plagiarism (Base),mean_delta_Human Plagiarism + DSP,mean_delta_Original + DSP,mean_delta_AI Generation (Base),mean_delta_AI + DSP,stability_rank
160,0.833124,0.651817,0.691627,5.082812,0.091902,0.814731,0.910691,0.887060,0.650669,0.791819,0.833418,221
157,0.833250,0.661955,0.680147,5.132829,0.099191,0.807949,0.880786,0.899963,0.621273,0.805898,0.831827,222
156,0.833412,0.677020,0.675635,4.944479,0.078721,0.821363,0.862283,0.866918,0.664158,0.853535,0.859924,223
81,0.833624,0.654218,0.689764,4.872138,0.095274,0.819326,0.889140,0.876314,0.631664,0.839874,0.859637,224
404,0.833642,0.658086,0.686749,4.734963,0.118557,0.812632,0.948258,0.923064,0.616670,0.783484,0.791685,225
248,0.834003,0.644303,0.694053,4.521950,0.109524,0.817723,0.860740,0.846643,0.605541,0.852952,0.922739,226
289,0.834707,0.649444,0.692962,5.247194,0.099933,0.805345,0.862038,0.910208,0.617487,0.811956,0.825037,227
202,0.835746,0.653587,0.690872,4.705043,0.121270,0.826403,0.971786,0.907877,0.612750,0.823203,0.816397,228
436,0.836641,0.644773,0.697366,4.335920,0.100164,0.814498,0.865242,0.890351,0.616660,0.841236,0.859002,229
44,0.836680,0.684357,0.679067,6.126067,0.117032,0.803675,0.870623,0.903912,0.578370,0.805337,0.860135,230
50,0.837296,0.687362,0.669794,5.371400,0.097530,0.833485,0.901968,0.853407,0.641525,0.873783,0.896741,231
74,0.837439,0.688824,0.666708,4.772821,0.103974,0.829193,0.933799,0.880700,0.630661,0.841950,0.858856,232
93,0.837520,0.643397,0.703378,4.431510,0.124081,0.821288,0.965275,0.907969,0.601707,0.800622,0.830865,233
348,0.837994,0.663279,0.692399,4.802032,0.083775,0.820415,0.871357,0.892133,0.657506,0.841781,0.839298,234
322,0.838587,0.662258,0.689286,4.987335,0.092689,0.824872,0.878757,0.887960,0.641093,0.864036,0.852512,235
169,0.838599,0.682157,0.676414,5.828987,0.089039,0.820534,0.885754,0.886184,0.647729,0.828556,0.854445,236
295,0.839306,0.658617,0.693984,5.523196,0.096793,0.818698,0.839531,0.854159,0.633372,0.847976,0.918450,237
509,0.839422,0.669841,0.686630,5.395714,0.091676,0.829231,0.912909,0.874663,0.652049,0.839002,0.867533,238
380,0.839464,0.659091,0.692937,4.857932,0.093494,0.818509,0.877205,0.899904,0.637455,0.836158,0.841820,239
209,0.840257,0.643144,0.706579,4.859339,0.097547,0.826516,0.916620,0.891568,0.640451,0.833955,0.849984,240
90,0.840741,0.646373,0.703628,4.711503,0.106074,0.808823,0.861674,0.915717,0.606619,0.818862,0.841244,241
308,0.840942,0.661584,0.696793,5.289470,0.102557,0.821158,0.895579,0.884657,0.621320,0.827968,0.876267,242
159,0.840988,0.669171,0.680933,4.524536,0.083229,0.830297,0.859412,0.868654,0.664515,0.878957,0.879948,243
298,0.841128,0.675133,0.680827,5.336170,0.106310,0.825742,0.812699,0.833397,0.637341,0.890949,0.954323,244
98,0.841324,0.659620,0.693013,5.105273,0.110219,0.822142,0.920321,0.904042,0.613087,0.825006,0.848253,245
401,0.841870,0.691197,0.673979,5.353843,0.099410,0.826205,0.855341,0.873691,0.628898,0.879617,0.893476,246
43,0.842229,0.672555,0.688737,5.336546,0.103610,0.828837,0.911363,0.881680,0.625681,0.846890,0.878572,247
419,0.842765,0.663225,0.694211,4.976073,0.093212,0.834406,0.908228,0.869683,0.651103,0.857461,0.885556,248
261,0.843445,0.669563,0.691803,5.285886,0.105084,0.827831,0.928036,0.899265,0.629239,0.829761,0.852856,249
499,0.843763,0.675609,0.690003,5.118361,0.090785,0.827457,0.887755,0.902876,0.651428,0.854197,0.841026,250
234,0.844461,0.654641,0.701574,4.873192,0.100815,0.833069,0.911119,0.873338,0.635354,0.852011,0.893524,251
502,0.844496,0.676338,0.684775,5.082278,0.085501,0.824847,0.852824,0.870036,0.657455,0.846779,0.897141,252
197,0.844892,0.653313,0.698814,4.612394,0.125772,0.824382,0.965128,0.906901,0.600320,0.791091,0.858471,253
247,0.845657,0.676429,0.685356,5.135233,0.093701,0.822435,0.826648,0.872758,0.642110,0.863876,0.906783,254
114,0.846684,0.676009,0.684985,4.655482,0.108093,0.836688,0.842423,0.847552,0.635077,0.913254,0.945133,255
135,0.846783,0.678493,0.688174,4.693779,0.092630,0.824868,0.883090,0.898615,0.644642,0.834376,0.863616,256
225,0.846859,0.666786,0.701200,5.178055,0.103161,0.820454,0.880554,0.919328,0.622831,0.836523,0.843035,257
128,0.847253,0.683076,0.681399,5.267828,0.113800,0.825855,0.950383,0.931040,0.632362,0.801176,0.814314,258
196,0.847431,0.670170,0.694139,4.988167,0.103773,0.826242,0.898699,0.911106,0.625264,0.843221,0.852919,259
280,0.847715,0.647567,0.711852,4.431070,0.109574,0.823357,0.908480,0.917760,0.615453,0.826415,0.848676,260
506,0.848250,0.659761,0.706074,5.585785,0.111874,0.841615,0.898969,0.870651,0.619766,0.904115,0.914574,261
232,0.848698,0.663517,0.702688,4.538603,0.099090,0.826003,0.905441,0.916569,0.640706,0.825606,0.841691,262
259,0.848874,0.698159,0.673173,5.037404,0.112025,0.838587,0.820886,0.835254,0.643533,0.923933,0.969329,263
395,0.849908,0.667718,0.703082,4.846633,0.118587,0.838365,0.965015,0.916002,0.618974,0.845626,0.846209,264
390,0.849998,0.680650,0.694864,5.070383,0.099477,0.836150,0.928534,0.905037,0.647044,0.845076,0.855059,265
511,0.852500,0.696836,0.687208,5.696312,0.102448,0.825370,0.908495,0.924119,0.637649,0.811557,0.845033,266
88,0.852709,0.680759,0.696582,5.534237,0.102571,0.855818,0.926388,0.857541,0.657004,0.912367,0.925790,267
446,0.852814,0.660141,0.709876,4.971171,0.116793,0.827035,0.919647,0.928969,0.606422,0.829457,0.850678,268
