category,rank,dimension,mean_delta,std_delta
1b. Human Plagiarism + DSP,26,1001,1.571003,1.306346
1b. Human Plagiarism + DSP,27,822,1.569259,1.341157
1b. Human Plagiarism + DSP,28,861,1.565704,1.379330
1b. Human Plagiarism + DSP,29,468,1.563907,1.343678
1b. Human Plagiarism + DSP,30,262,1.553651,1.207074
2. Original + DSP,1,880,0.705469,0.624000
2. Original + DSP,2,70,0.681652,0.641814
2. Original + DSP,3,963,0.674051,0.593938
2. Original + DSP,4,757,0.670347,0.570653
2. Original + DSP,5,698,0.668510,0.642220
2. Original + DSP,6,4,0.662686,0.598168
2. Original + DSP,7,611,0.659907,0.579708
2. Original + DSP,8,640,0.657885,0.690058
2. Original + DSP,9,941,0.640529,0.585944
2. Original + DSP,10,612,0.639145,0.559168
2. Original + DSP,11,427,0.630792,0.564762
2. Original + DSP,12,629,0.629616,0.534896
2. Original + DSP,13,400,0.625934,0.586574
2. Original + DSP,14,45,0.614979,0.548406
2. Original + DSP,15,1001,0.611304,0.526709
2. Original + DSP,16,145,0.609723,0.545968
2. Original + DSP,17,47,0.609155,0.549788
2. Original + DSP,18,551,0.602836,0.526908
2. Original + DSP,19,501,0.601689,0.560851
2. Original + DSP,20,355,0.598397,0.555024
2. Original + DSP,21,184,0.597264,0.557550
2. Original + DSP,22,290,0.596260,0.547303
2. Original + DSP,23,259,0.593527,0.593033
2. Original + DSP,24,449,0.589088,0.555870
2. Original + DSP,25,562,0.587963,0.536236
2. Original + DSP,26,834,0.583256,0.513960
2. Original + DSP,27,193,0.582920,0.596334
2. Original + DSP,28,1006,0.579257,0.526022
2. Original + DSP,29,563,0.577947,0.550338
2. Original + DSP,30,999,0.576598,0.548127
3. AI Generation (Base),1,629,2.166850,1.742144
3. AI Generation (Base),2,4,2.147557,1.725487
3. AI Generation (Base),3,880,2.139300,1.781968
3. AI Generation (Base),4,400,2.125938,1.765855
3. AI Generation (Base),5,963,2.109259,1.721352
3. AI Generation (Base),6,757,2.035812,1.638573
3. AI Generation (Base),7,70,2.027453,1.610438
3. AI Generation (Base),8,551,2.017904,1.573759
3. AI Generation (Base),9,290,2.003840,1.563600
3. AI Generation (Base),10,834,1.990362,1.641134
3. AI Generation (Base),11,698,1.945203,1.527291
3. AI Generation (Base),12,941,1.913325,1.552686
3. AI Generation (Base),13,355,1.902235,1.522920
3. AI Generation (Base),14,1001,1.901249,1.501753
3. AI Generation (Base),15,427,1.883905,1.536174
3. AI Generation (Base),16,612,1.864613,1.527054
3. AI Generation (Base),17,995,1.862025,1.512939
3. AI Generation (Base),18,45,1.851268,1.527202
3. AI Generation (Base),19,611,1.842050,1.481279
3. AI Generation (Base),20,145,1.793948,1.494647
3. AI Generation (Base),21,238,1.793937,1.468336
3. AI Generation (Base),22,994,1.783529,1.447530
3. AI Generation (Base),23,640,1.777715,1.425832
3. AI Generation (Base),24,47,1.773771,1.426624
3. AI Generation (Base),25,501,1.723119,1.362783
3. AI Generation (Base),26,140,1.719954,1.448844
3. AI Generation (Base),27,443,1.719881,1.410653
3. AI Generation (Base),28,1006,1.710576,1.445138
