category,rank,dimension,mean_delta,std_delta
pitchU4,19,611,1.643986,1.253061
pitchU4,20,673,1.636535,1.457590
pitchU4,21,107,1.620231,1.528484
pitchU4,22,861,1.612998,1.433130
pitchU4,23,999,1.609565,1.277174
pitchU4,24,822,1.599093,1.361772
pitchU4,25,400,1.585857,1.346394
pitchU4,26,639,1.579819,1.238592
pitchU4,27,211,1.578667,1.385602
pitchU4,28,1001,1.575853,1.296434
pitchU4,29,654,1.568280,1.348538
pitchU4,30,468,1.556813,1.282933
pitchU4_tempo110,1,880,2.100411,1.669170
pitchU4_tempo110,2,70,2.027301,1.722292
pitchU4_tempo110,3,629,1.968172,1.733714
pitchU4_tempo110,4,963,1.937072,1.472103
pitchU4_tempo110,5,941,1.930259,1.435919
pitchU4_tempo110,6,757,1.909431,1.510247
pitchU4_tempo110,7,45,1.895568,1.421817
pitchU4_tempo110,8,4,1.873830,1.685385
pitchU4_tempo110,9,698,1.843381,1.529089
pitchU4_tempo110,10,1006,1.808760,1.558515
pitchU4_tempo110,11,612,1.795898,1.612354
pitchU4_tempo110,12,47,1.786480,1.488321
pitchU4_tempo110,13,640,1.762126,1.427066
pitchU4_tempo110,14,951,1.749969,1.465258
pitchU4_tempo110,15,639,1.721812,1.361552
pitchU4_tempo110,16,995,1.712749,1.335026
pitchU4_tempo110,17,355,1.704632,1.286464
pitchU4_tempo110,18,107,1.683847,1.601664
pitchU4_tempo110,19,673,1.682844,1.479790
pitchU4_tempo110,20,834,1.667128,1.496616
pitchU4_tempo110,21,861,1.657203,1.428211
pitchU4_tempo110,22,427,1.656962,1.351712
pitchU4_tempo110,23,211,1.652465,1.370692
pitchU4_tempo110,24,999,1.648103,1.261468
pitchU4_tempo110,25,611,1.630657,1.190830
pitchU4_tempo110,26,85,1.611181,1.387550
pitchU4_tempo110,27,145,1.610256,1.429946
pitchU4_tempo110,28,468,1.604496,1.313644
pitchU4_tempo110,29,563,1.604113,1.304137
pitchU4_tempo110,30,419,1.596929,1.251741
tempo090,1,475,2.916177,1.474536
tempo090,2,29,2.668534,1.407455
tempo090,3,63,2.663806,1.539321
tempo090,4,297,2.630718,1.411442
tempo090,5,964,2.583296,1.447188
tempo090,6,629,2.547292,1.630855
tempo090,7,323,2.484664,1.669744
tempo090,8,70,2.418698,1.707169
tempo090,9,443,2.384691,1.223554
tempo090,10,798,2.356316,1.617970
tempo090,11,252,2.321610,1.670765
tempo090,12,861,2.296716,1.510121
tempo090,13,177,2.294355,1.540028
tempo090,14,227,2.226502,1.123784
tempo090,15,85,2.215552,1.448989
tempo090,16,93,2.199179,1.250539
tempo090,17,147,2.193117,1.664377
tempo090,18,120,2.160652,1.368781
tempo090,19,565,2.153101,0.995724
tempo090,20,12,2.142996,1.481950
tempo090,21,974,2.128192,1.083449
tempo090,22,826,2.109693,1.223516
tempo090,23,966,2.100013,1.375357
tempo090,24,222,2.098533,1.198080
tempo090,25,364,2.098443,1.311757
tempo090,26,957,2.096393,1.469045
tempo090,27,816,2.088691,1.448772
tempo090,28,262,2.085064,1.195824
tempo090,29,848,2.082031,1.225906
tempo090,30,192,2.077766,0.969529
tempo095,1,861,2.472097,1.767436
tempo095,2,63,2.429430,1.642786
tempo095,3,475,2.399470,1.349601
tempo095,4,794,2.339386,1.675361
tempo095,5,85,2.338890,1.517073
tempo095,6,331,2.336513,1.322474
tempo095,7,826,2.280549,1.395721
tempo095,8,816,2.271391,1.511298
tempo095,9,323,2.206226,1.403483
tempo095,10,297,2.206210,1.446696
tempo095,11,964,2.174762,1.636741
tempo095,12,45,2.145238,1.507091
tempo095,13,29,2.126894,1.440205
tempo095,14,629,2.121228,1.643761
tempo095,15,599,2.105046,1.466233
tempo095,16,417,2.096001,1.155180
tempo095,17,966,2.095958,1.327068
tempo095,18,1006,2.078484,1.280937
tempo095,19,991,2.063660,1.451683
tempo095,20,565,2.053650,0.983142
tempo095,21,523,2.049233,1.390634
tempo095,22,100,2.041112,1.385436
tempo095,23,1017,2.038880,1.063390
