dimension,ori_mean,ori_std,mod_mean_Human_Plagiarism_(Base),mod_std_Human_Plagiarism_(Base),shift_mean_Human_Plagiarism_(Base),shift_std_Human_Plagiarism_(Base),mod_mean_Human_Plagiarism_+_DSP,mod_std_Human_Plagiarism_+_DSP,shift_mean_Human_Plagiarism_+_DSP,shift_std_Human_Plagiarism_+_DSP,mod_mean_Original_+_DSP,mod_std_Original_+_DSP,shift_mean_Original_+_DSP,shift_std_Original_+_DSP,mod_mean_AI_Generation_(Base),mod_std_AI_Generation_(Base),shift_mean_AI_Generation_(Base),shift_std_AI_Generation_(Base),mod_mean_AI_+_DSP,mod_std_AI_+_DSP,shift_mean_AI_+_DSP,shift_std_AI_+_DSP
417,-0.002408,0.853078,0.079103,0.922892,0.116777,1.167440,0.057910,0.861231,0.095584,1.136850,0.006325,0.834743,-0.028628,0.903543,-0.291585,0.930334,-0.326539,1.196710,-0.381786,0.874659,-0.416740,1.193597
418,-0.005640,0.831757,-0.262089,0.776914,-0.336876,1.079364,-0.350887,0.824486,-0.425674,1.134429,-0.178392,0.839250,-0.087543,0.825883,-0.130028,0.727421,-0.039180,1.013003,-0.153788,0.698122,-0.062939,1.045164
419,0.267812,0.782673,0.344851,0.813353,0.099622,1.140888,0.241520,0.766017,-0.003708,1.094765,0.254280,0.765173,-0.037438,0.878010,0.254620,0.798198,-0.037098,1.085442,0.160261,0.788735,-0.131457,1.104237
420,-0.824956,0.768891,-0.964714,0.707223,-0.195314,1.036135,-0.883280,0.766688,-0.113880,1.075165,-0.806544,0.755417,0.077312,0.811873,-0.640805,0.767192,0.243052,1.035298,-0.557275,0.749461,0.326581,1.029680
421,0.143747,0.851522,0.529901,0.728489,0.508206,1.135312,0.444261,0.829028,0.422566,1.181272,0.258079,0.836730,-0.014950,0.878519,0.298187,0.789367,0.025158,1.087054,0.334671,0.733610,0.061641,1.079350
422,-0.696004,0.845014,-0.914424,0.914932,-0.321150,1.168650,-0.799353,0.911315,-0.206080,1.186446,-0.747156,0.861006,0.057682,0.852793,-0.638260,0.740206,0.166578,1.061439,-0.630359,0.715930,0.174479,1.098621
423,0.076639,0.737010,-0.055024,0.688852,-0.164757,0.989679,-0.032402,0.739290,-0.142135,1.013172,0.067404,0.718785,0.025839,0.779380,-0.006098,0.684961,-0.047664,0.939217,-0.100629,0.673085,-0.142194,0.954595
424,-0.481985,0.861970,-0.752074,0.783934,-0.372058,1.149563,-0.667860,0.804126,-0.287843,1.183460,-0.531517,0.807072,0.058540,0.861582,-0.487063,0.740220,0.102995,1.042047,-0.437634,0.745426,0.152423,1.069665
425,-0.015791,0.916887,-0.113265,0.861000,-0.134836,1.174350,-0.062103,0.854556,-0.083673,1.181655,-0.035395,0.875153,0.019979,0.977458,-0.191135,0.868475,-0.135761,1.191200,-0.137389,0.836600,-0.082015,1.210534
426,0.388722,0.726116,0.295195,0.683981,-0.117565,0.991468,0.367875,0.730070,-0.044884,1.037983,0.370973,0.730565,0.007739,0.828641,0.314669,0.721751,-0.048566,1.000525,0.264763,0.745560,-0.098471,1.012120
