dimension,dsp_type,r2_linear
575,tempo,0.012660
576,tempo,0.015810
577,tempo,0.010580
578,tempo,0.024113
579,tempo,0.015431
580,tempo,0.022416
581,tempo,0.021359
582,tempo,0.025495
583,tempo,0.018786
584,tempo,0.008732
585,tempo,0.016679
586,tempo,0.012237
587,tempo,0.015876
588,tempo,0.013547
589,tempo,0.007773
590,tempo,0.026180
591,tempo,0.020867
592,tempo,0.016173
593,tempo,0.012155
594,tempo,0.010645
595,tempo,0.012508
596,tempo,0.007193
597,tempo,0.024928
598,tempo,0.012623
599,tempo,0.015717
600,tempo,0.007147
601,tempo,0.008684
602,tempo,0.022589
603,tempo,0.012208
604,tempo,0.012765
605,tempo,0.011108
606,tempo,0.015987
607,tempo,0.016183
608,tempo,0.024042
609,tempo,0.024412
610,tempo,0.006752
611,tempo,0.009229
612,tempo,0.016912
613,tempo,0.018574
614,tempo,0.008542
615,tempo,0.012116
616,tempo,0.016696
617,tempo,0.022910
618,tempo,0.049459
619,tempo,0.008428
620,tempo,0.027249
621,tempo,0.008211
622,tempo,0.012109
623,tempo,0.028109
624,tempo,0.012955
625,tempo,0.011951
626,tempo,0.011691
627,tempo,0.032665
628,tempo,0.009791
629,tempo,0.009870
630,tempo,0.019021
631,tempo,0.038125
632,tempo,0.013667
633,tempo,0.010587
634,tempo,0.015117
635,tempo,0.020544
636,tempo,0.017918
637,tempo,0.017818
638,tempo,0.011818
639,tempo,0.014602
640,tempo,0.008894
641,tempo,0.023632
642,tempo,0.032864
643,tempo,0.013482
644,tempo,0.019641
645,tempo,0.008618
646,tempo,0.009930
647,tempo,0.020279
648,tempo,0.005186
649,tempo,0.021763
650,tempo,0.028325
651,tempo,0.015423
652,tempo,0.009981
653,tempo,0.007350
654,tempo,0.007240
655,tempo,0.022984
656,tempo,0.015188
657,tempo,0.013380
658,tempo,0.007473
659,tempo,0.014196
660,tempo,0.017752
661,tempo,0.020140
662,tempo,0.030029
663,tempo,0.007802
664,tempo,0.010705
665,tempo,0.011845
666,tempo,0.008752
667,tempo,0.007053
668,tempo,0.007032
669,tempo,0.016329
670,tempo,0.016727
671,tempo,0.011937
672,tempo,0.016778
673,tempo,0.003110
674,tempo,0.010677
675,tempo,0.012180
676,tempo,0.014778
677,tempo,0.012188
678,tempo,0.005198
679,tempo,0.014659
680,tempo,0.030150
681,tempo,0.008840
682,tempo,0.017048
683,tempo,0.007154
684,tempo,0.038580
685,tempo,0.014118
686,tempo,0.008585
687,tempo,0.019055
688,tempo,0.013114
689,tempo,0.029752
690,tempo,0.039748
691,tempo,0.027142
692,tempo,0.018669
693,tempo,0.025151
694,tempo,0.017509
695,tempo,0.015709
696,tempo,0.034202
697,tempo,0.016298
698,tempo,0.008239
699,tempo,0.027463
700,tempo,0.012050
701,tempo,0.014774
702,tempo,0.010100
703,tempo,0.014928
704,tempo,0.010001
705,tempo,0.015441
706,tempo,0.009682
707,tempo,0.010617
708,tempo,0.017684
709,tempo,0.012565
710,tempo,0.046686
711,tempo,0.033401
712,tempo,0.010392
713,tempo,0.033375
714,tempo,0.010997
715,tempo,0.017488
716,tempo,0.019593
717,tempo,0.026364
718,tempo,0.015300
719,tempo,0.016004
720,tempo,0.021023
721,tempo,0.029743
722,tempo,0.014515
723,tempo,0.008860
724,tempo,0.013600
725,tempo,0.011123
726,tempo,0.013617
727,tempo,0.014978
728,tempo,0.023022
729,tempo,0.012057
730,tempo,0.020273
731,tempo,0.018112
732,tempo,0.016777
733,tempo,0.021747
734,tempo,0.021528
735,tempo,0.014494
736,tempo,0.014418
737,tempo,0.009168
