dimension,smp_mean_delta,ai_base_mean_delta,difference,cohens_d
308,1.213965,1.533669,0.319704,0.284767
47,1.669973,2.094185,0.424212,0.284539
349,1.029020,1.286357,0.257337,0.284460
736,1.343567,1.684904,0.341337,0.284341
85,1.457079,1.815211,0.358132,0.284145
54,1.156142,1.452436,0.296294,0.283849
1012,1.117384,1.388637,0.271252,0.283459
274,0.904368,1.134398,0.230030,0.283303
989,1.202303,1.520994,0.318692,0.283041
589,1.181804,1.497595,0.315791,0.282252
952,1.156209,1.448667,0.292458,0.282211
533,1.012085,1.268194,0.256109,0.281982
667,1.089196,1.360979,0.271783,0.281939
11,1.053558,1.321046,0.267488,0.281516
303,1.076044,1.350097,0.274053,0.280963
226,1.039553,1.299796,0.260243,0.280530
116,1.269657,1.585364,0.315707,0.279859
594,1.105094,1.383819,0.278726,0.279529
546,1.064961,1.339545,0.274583,0.279488
707,1.134551,1.409873,0.275322,0.279316
598,1.122729,1.411471,0.288742,0.278515
909,1.207233,1.507596,0.300363,0.278407
51,1.126500,1.407800,0.281301,0.277958
974,1.195529,1.483783,0.288254,0.277444
397,1.165466,1.448323,0.282857,0.277413
188,1.294540,1.615275,0.320735,0.277131
695,1.009486,1.267003,0.257517,0.276839
316,1.266564,1.572965,0.306401,0.275181
5,1.149181,1.441509,0.292328,0.274787
289,1.123849,1.411787,0.287938,0.273892
634,1.209197,1.491499,0.282301,0.273538
361,1.092384,1.357074,0.264689,0.273383
513,1.163079,1.439602,0.276523,0.273138
686,1.009846,1.258068,0.248222,0.272561
175,1.174227,1.446723,0.272496,0.272413
880,2.014229,2.505534,0.491306,0.272307
70,1.876479,2.329338,0.452859,0.272291
951,1.486462,1.849698,0.363236,0.270987
738,1.178283,1.460963,0.282680,0.270667
628,1.049572,1.304121,0.254549,0.270588
610,1.022475,1.269752,0.247276,0.269571
926,1.090791,1.365171,0.274380,0.268541
112,1.340810,1.656960,0.316149,0.268039
76,0.930453,1.172390,0.241937,0.267360
601,1.167536,1.447758,0.280222,0.267130
560,1.273395,1.567840,0.294445,0.266775
297,1.133476,1.430854,0.297378,0.265475
860,1.113848,1.372706,0.258859,0.264995
922,1.117384,1.382734,0.265350,0.264628
541,0.935060,1.158310,0.223251,0.261981
944,1.193100,1.485117,0.292018,0.261785
879,1.185676,1.473880,0.288204,0.261271
653,1.267318,1.563537,0.296218,0.260681
376,1.052159,1.296547,0.244388,0.260053
964,0.915188,1.145404,0.230216,0.259175
352,1.115798,1.394563,0.278764,0.259035
117,0.967934,1.183310,0.215376,0.258481
128,1.031416,1.264020,0.232604,0.257100
115,1.086678,1.332111,0.245432,0.256222
584,0.987250,1.232869,0.245619,0.256034
401,1.121019,1.371646,0.250627,0.255675
604,1.033716,1.254255,0.220539,0.255592
638,1.164282,1.424568,0.260285,0.253088
775,1.197596,1.468502,0.270906,0.252092
307,1.055791,1.291185,0.235393,0.251556
819,1.107268,1.357640,0.250372,0.251453
321,1.041409,1.269040,0.227632,0.250980
474,1.035737,1.267608,0.231871,0.249312
882,1.086459,1.329789,0.243330,0.248940
398,0.968225,1.171611,0.203386,0.248871
371,1.243831,1.510682,0.266851,0.248642
565,1.234023,1.499725,0.265703,0.247832
1022,1.083605,1.321641,0.238036,0.247503
209,0.956767,1.156823,0.200056,0.247157
194,1.256804,1.531476,0.274673,0.246682
63,1.363406,1.677103,0.313697,0.246534
89,0.986933,1.199053,0.212120,0.246402
495,1.061352,1.297939,0.236587,0.245850
439,1.066882,1.290985,0.224103,0.244853
966,1.068506,1.298908,0.230402,0.244480
407,1.214306,1.470451,0.256145,0.243950
153,1.214532,1.471260,0.256728,0.243814
192,1.383674,1.683396,0.299721,0.243638
646,1.043743,1.292841,0.249097,0.243525
227,1.268826,1.534948,0.266122,0.243455
195,1.346174,1.631936,0.285762,0.243143
435,1.096520,1.337839,0.241319,0.242942
605,1.329953,1.621928,0.291974,0.242800
225,1.001903,1.225213,0.223310,0.242566
3,1.260490,1.531997,0.271507,0.242149
75,1.088869,1.318663,0.229794,0.241184
611,1.685435,2.034003,0.348567,0.241084
948,1.014522,1.224205,0.209682,0.240010
841,1.086490,1.325335,0.238845,0.238343
487,1.186285,1.432329,0.246044,0.238155
548,1.366690,1.660621,0.293931,0.236243
256,1.163705,1.400104,0.236399,0.235974
540,1.004356,1.202033,0.197677,0.235857
629,1.993820,2.412016,0.418196,0.235473
746,1.104926,1.333293,0.228367,0.235191
712,1.137393,1.360457,0.223064,0.234339
704,1.184366,1.422405,0.238039,0.233866
654,1.360906,1.638309,0.277402,0.232492
83,1.326609,1.590685,0.264076,0.231272
149,1.239123,1.499342,0.260218,0.231044
479,1.001938,1.209995,0.208057,0.230721
31,1.022206,1.236962,0.214756,0.228684
275,1.202065,1.442098,0.240032,0.228408
73,1.157817,1.396228,0.238410,0.228042
606,1.253724,1.504119,0.250395,0.227587
380,1.115625,1.333531,0.217906,0.226484
23,1.131355,1.349564,0.218209,0.224259
126,1.514416,1.813944,0.299528,0.223358
512,1.111764,1.326673,0.214909,0.219287
317,0.999461,1.182670,0.183209,0.218115
19,1.104815,1.316003,0.211188,0.217076
20,1.138911,1.347642,0.208731,0.216967
340,1.238009,1.483819,0.245810,0.216692
298,1.252304,1.476757,0.224453,0.213429
458,1.403709,1.667028,0.263318,0.211787
182,0.928148,1.099332,0.171184,0.210769
762,1.174726,1.389877,0.215151,0.210662
831,1.363155,1.607988,0.244832,0.206175
243,1.273559,1.511662,0.238103,0.206029
351,1.307986,1.534458,0.226472,0.200470
675,1.236603,1.441367,0.204764,0.200331
134,1.175826,1.376664,0.200837,0.199101
489,1.221703,1.431291,0.209589,0.198947
468,1.495895,1.756992,0.261097,0.197243
413,1.446279,1.689157,0.242879,0.197153
286,1.316300,1.526060,0.209760,0.193384
396,1.195161,1.390350,0.195189,0.191504
186,1.036547,1.205927,0.169380,0.190056
29,1.201305,1.400714,0.199409,0.188956
475,1.186241,1.387420,0.201178,0.187168
803,1.415745,1.652807,0.237061,0.186980
13,1.150286,1.341435,0.191149,0.185239
419,1.684264,1.949715,0.265451,0.184256
747,1.207172,1.392403,0.185231,0.183821
759,1.248821,1.442744,0.193924,0.183637
265,1.238766,1.440162,0.201396,0.183458
480,1.117949,1.296298,0.178349,0.182904
868,1.291892,1.502720,0.210828,0.182279
291,1.087542,1.256156,0.168615,0.178749
328,1.083478,1.247156,0.163678,0.178407
794,1.379234,1.606603,0.227369,0.178051
259,1.509750,1.742863,0.233114,0.173631
822,1.561686,1.786487,0.224801,0.170468
867,1.195174,1.391494,0.196319,0.170438
370,1.274218,1.457344,0.183126,0.168206
881,1.074339,1.227427,0.153088,0.167769
97,1.245612,1.418936,0.173324,0.166098
621,1.207137,1.385281,0.178144,0.164625
749,1.553344,1.755711,0.202367,0.161237
331,1.445315,1.641472,0.196158,0.158985
673,1.568175,1.795690,0.227515,0.158384
871,1.288554,1.454184,0.165630,0.157573
417,1.262065,1.434630,0.172565,0.155893
211,1.613453,1.840115,0.226662,0.152716
506,1.017547,1.146012,0.128466,0.147459
411,1.318265,1.483728,0.165464,0.145339
550,1.249657,1.395671,0.146014,0.142557
942,1.228558,1.369826,0.141268,0.141486
714,1.098876,1.234927,0.136052,0.140626
39,1.150467,1.285026,0.134559,0.140376
262,1.499264,1.661325,0.162061,0.135585
678,1.297680,1.448737,0.151057,0.134955
444,1.313381,1.467670,0.154289,0.133579
872,1.152590,1.280611,0.128021,0.131879
332,1.004511,1.114685,0.110174,0.131792
282,1.282473,1.409538,0.127065,0.120752
507,1.150148,1.256996,0.106848,0.117112
993,1.252339,1.388441,0.136102,0.116295
813,1.126434,1.230256,0.103822,0.113874
755,1.176676,1.268451,0.091775,0.092791
861,1.564460,1.666496,0.102036,0.075874
499,1.158684,1.207628,0.048944,0.049528
890,1.202661,1.248825,0.046165,0.040863
