category,rank,dimension,mean_delta,std_delta
pitchU4_tempo110,10,45,1.827889,1.446080
pitchU4_tempo110,11,551,1.812836,1.382444
pitchU4_tempo110,12,1001,1.797074,1.456039
pitchU4_tempo110,13,640,1.757404,1.410669
pitchU4_tempo110,14,387,1.742077,1.352761
pitchU4_tempo110,15,290,1.727897,1.386213
pitchU4_tempo110,16,995,1.722018,1.286061
pitchU4_tempo110,17,355,1.709242,1.322105
pitchU4_tempo110,18,994,1.703698,1.321533
pitchU4_tempo110,19,427,1.691235,1.378574
pitchU4_tempo110,20,611,1.671880,1.318240
pitchU4_tempo110,21,834,1.670916,1.416939
pitchU4_tempo110,22,612,1.665358,1.293296
pitchU4_tempo110,23,57,1.664425,1.342225
pitchU4_tempo110,24,1016,1.654237,1.331810
pitchU4_tempo110,25,171,1.631001,1.205527
pitchU4_tempo110,26,375,1.628547,1.221952
pitchU4_tempo110,27,145,1.627724,1.263765
pitchU4_tempo110,28,661,1.614014,1.211040
pitchU4_tempo110,29,66,1.604260,1.296422
pitchU4_tempo110,30,657,1.603310,1.246192
tempo090,1,629,2.783773,2.207502
tempo090,2,880,2.664338,1.496473
tempo090,3,402,2.600257,1.578507
tempo090,4,781,2.341718,1.805080
tempo090,5,963,2.242839,1.483397
tempo090,6,967,2.210422,2.079082
tempo090,7,40,2.180945,1.282171
tempo090,8,951,2.086741,1.435329
tempo090,9,995,2.081195,1.258981
tempo090,10,262,2.074589,1.590323
tempo090,11,837,2.070999,1.199765
tempo090,12,66,2.059009,1.636163
tempo090,13,305,2.046717,2.186457
tempo090,14,419,2.035914,1.056544
tempo090,15,248,2.031146,1.224870
tempo090,16,555,2.029099,0.975268
tempo090,17,397,2.006802,1.482070
tempo090,18,38,1.992157,1.688424
tempo090,19,432,1.975285,1.067286
tempo090,20,553,1.967288,1.257782
tempo090,21,779,1.962496,1.515291
tempo090,22,236,1.955262,1.426739
tempo090,23,760,1.953587,1.215184
tempo090,24,205,1.931234,1.418362
tempo090,25,752,1.926011,1.391755
tempo090,26,273,1.906229,0.970010
tempo090,27,580,1.901803,1.465279
tempo090,28,551,1.895911,1.438083
tempo090,29,672,1.875953,1.108404
tempo090,30,32,1.871214,0.988053
tempo095,1,629,2.219272,1.745864
tempo095,2,880,1.946083,1.651744
tempo095,3,757,1.933859,1.482600
tempo095,4,4,1.927312,1.556477
tempo095,5,1001,1.850205,1.528574
tempo095,6,400,1.819790,1.604561
tempo095,7,963,1.792334,1.474377
tempo095,8,70,1.741639,1.517097
tempo095,9,551,1.736409,1.262492
tempo095,10,290,1.729006,1.226304
tempo095,11,611,1.716892,1.277150
tempo095,12,45,1.682581,1.279065
tempo095,13,427,1.675897,1.333373
tempo095,14,57,1.657351,1.394361
tempo095,15,941,1.643742,1.356526
tempo095,16,553,1.602783,1.131273
tempo095,17,834,1.599149,1.278482
tempo095,18,355,1.593154,1.221651
