dimension,smp_mean_delta,smp_std_delta,ai_base_mean_delta,ai_base_std_delta,difference_ai_minus_smp,abs_difference,cohens_d,discrimination_rank
154,0.946685,0.740548,0.850779,0.654845,-0.095906,0.095906,-0.137202,160
98,0.920321,0.686113,0.825006,0.656053,-0.095315,0.095315,-0.141996,161
216,0.874852,0.688872,0.779618,0.612265,-0.095234,0.095234,-0.146133,162
140,0.799654,0.610722,0.704459,0.545398,-0.095195,0.095195,-0.164417,163
252,0.885783,0.658686,0.791116,0.629097,-0.094667,0.094667,-0.146984,164
23,0.946061,0.827781,0.852208,0.710062,-0.093852,0.093852,-0.121701,165
403,0.885333,0.718854,0.791690,0.632973,-0.093643,0.093643,-0.138264,166
54,0.901899,0.694156,0.808258,0.625930,-0.093641,0.093641,-0.141682,167
220,1.147543,0.809976,1.054103,0.842058,-0.093440,0.093440,-0.113100,168
484,1.095309,0.833085,1.001981,0.777683,-0.093328,0.093328,-0.115812,169
187,0.847693,0.667048,0.754924,0.588835,-0.092769,0.092769,-0.147449,170
74,0.933799,0.735767,0.841950,0.667662,-0.091849,0.091849,-0.130738,171
446,0.919647,0.685182,0.829457,0.643377,-0.090190,0.090190,-0.135704,172
124,0.877268,0.652421,0.787384,0.608556,-0.089884,0.089884,-0.142476,173
57,0.918139,0.697353,0.829118,0.633924,-0.089022,0.089022,-0.133587,174
441,0.956344,0.697046,0.868292,0.655373,-0.088052,0.088052,-0.130153,175
254,0.853142,0.693274,0.765344,0.600043,-0.087799,0.087799,-0.135421,176
241,1.038858,0.766684,0.951125,0.726348,-0.087733,0.087733,-0.117481,177
311,0.742771,0.580521,0.829648,0.605332,0.086877,0.086877,0.146490,178
340,1.024817,0.772915,0.938946,0.734325,-0.085871,0.085871,-0.113907,179
453,0.897007,0.736021,0.811228,0.660289,-0.085779,0.085779,-0.122685,180
178,0.937758,0.688981,0.852269,0.661260,-0.085489,0.085489,-0.126602,181
378,0.833430,0.651665,0.748360,0.608310,-0.085070,0.085070,-0.134954,182
333,0.933575,0.700465,0.849189,0.648797,-0.084386,0.084386,-0.124993,183
508,0.894048,0.673708,0.810067,0.638585,-0.083980,0.083980,-0.127944,184
258,1.046819,0.760127,0.962887,0.756497,-0.083932,0.083932,-0.110683,185
117,0.897158,0.650456,0.813244,0.619914,-0.083914,0.083914,-0.132071,186
194,0.871701,0.700297,0.787832,0.626724,-0.083869,0.083869,-0.126207,187
211,1.007887,0.792725,0.924090,0.728540,-0.083798,0.083798,-0.110070,188
452,0.933520,0.705163,0.850047,0.670192,-0.083473,0.083473,-0.121344,189
390,0.928534,0.711091,0.845076,0.664676,-0.083458,0.083458,-0.121256,190
134,0.826117,0.648549,0.742713,0.597193,-0.083403,0.083403,-0.133788,191
334,1.004772,0.730728,0.921942,0.714134,-0.082830,0.082830,-0.114647,192
209,0.916620,0.650776,0.833955,0.632678,-0.082665,0.082665,-0.128803,193
47,0.994977,0.725261,0.912506,0.730077,-0.082471,0.082471,-0.113335,194
296,0.807058,0.639595,0.724981,0.556991,-0.082078,0.082078,-0.136861,195
280,0.908480,0.648408,0.826415,0.636349,-0.082065,0.082065,-0.127746,196
369,0.918839,0.691315,0.837473,0.668368,-0.081366,0.081366,-0.119667,197
372,1.029116,0.769371,0.948088,0.730139,-0.081028,0.081028,-0.108036,198
235,0.801035,0.624071,0.721066,0.574988,-0.079969,0.079969,-0.133275,199
232,0.905441,0.688119,0.825606,0.623853,-0.079835,0.079835,-0.121556,200
