final_mod_type,negative_tier,cosine_distance,euclidean_distance,manhattan_distance,pearson_distance
Negative_mgeldm_other_tempo110,intra_category_nearest,0.8232,25.3914,458.8939,0.823
Negative_mgeldm_other_tempo110,random,0.861,26.0012,469.9838,0.861
Negative_mgeldm_vocals,global_nearest,0.3281,15.9191,286.5406,0.3282
Negative_musicgen_none,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_musicgen_none,intra_category_nearest,0.8427,26.1378,472.6587,0.8425
Negative_musicgen_none,random,0.8441,25.6612,463.6595,0.844
Negative_musicgen_pitchD2,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_musicgen_pitchD2,intra_category_nearest,0.8397,25.7566,465.9846,0.8396
Negative_musicgen_pitchD2,random,0.8499,25.8883,467.8191,0.8498
Negative_musicgen_pitchD4,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_musicgen_pitchD4,intra_category_nearest,0.8526,25.6494,463.9786,0.8524
Negative_musicgen_pitchD4,random,0.8581,25.7911,466.1462,0.858
Negative_musicgen_pitchD4_tempo090,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_musicgen_pitchD4_tempo090,intra_category_nearest,0.862,25.8274,466.756,0.8619
Negative_musicgen_pitchD4_tempo090,random,0.8771,26.4611,478.2118,0.877
Negative_musicgen_pitchU2,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_musicgen_pitchU2,intra_category_nearest,0.8527,25.897,468.1354,0.8526
Negative_musicgen_pitchU2,random,0.8632,25.8031,466.5845,0.863
Negative_musicgen_pitchU4,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_musicgen_pitchU4,intra_category_nearest,0.8396,25.6674,464.3563,0.8394
Negative_musicgen_pitchU4,random,0.8484,25.4217,459.0983,0.8484
Negative_musicgen_pitchU4_tempo110,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_musicgen_pitchU4_tempo110,intra_category_nearest,0.8559,25.3571,458.2365,0.8558
Negative_musicgen_pitchU4_tempo110,random,0.8645,25.5299,461.8673,0.8644
Negative_musicgen_tempo090,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_musicgen_tempo090,intra_category_nearest,0.8656,26.6126,480.6589,0.8654
Negative_musicgen_tempo090,random,0.8767,26.4985,478.7672,0.8767
Negative_musicgen_tempo095,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_musicgen_tempo095,intra_category_nearest,0.8528,26.4771,478.3238,0.8527
Negative_musicgen_tempo095,random,0.8714,26.3338,476.2812,0.8713
Negative_musicgen_tempo105,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_musicgen_tempo105,intra_category_nearest,0.8614,26.3792,476.5621,0.8612
Negative_musicgen_tempo105,random,0.8726,26.2559,474.4537,0.8725
Negative_musicgen_tempo110,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_musicgen_tempo110,intra_category_nearest,0.8596,26.3746,476.7322,0.8594
Negative_musicgen_tempo110,random,0.866,26.1981,473.695,0.8659
Negative_none_pitchD2,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_none_pitchD2,intra_category_nearest,0.8002,25.5762,462.1923,0.8
Negative_none_pitchD2,random,0.8388,26.1742,473.3621,0.8386
Negative_none_pitchD4,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_none_pitchD4,intra_category_nearest,0.8009,25.472,460.3258,0.8006
Negative_none_pitchD4,random,0.8405,26.074,471.4953,0.8404
Negative_none_pitchD4_tempo090,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_none_pitchD4_tempo090,intra_category_nearest,0.8095,25.7916,466.1841,0.8093
Negative_none_pitchD4_tempo090,random,0.8585,26.4207,477.4623,0.8585
Negative_none_pitchU2,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_none_pitchU2,intra_category_nearest,0.785,25.2273,455.5078,0.7848
Negative_none_pitchU2,random,0.8521,26.4313,477.8165,0.852
Negative_none_pitchU4,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_none_pitchU4,intra_category_nearest,0.7825,25.1796,454.8239,0.7823
Negative_none_pitchU4,random,0.8466,26.3026,475.6796,0.8465
Negative_none_pitchU4_tempo110,global_nearest,0.8209,25.6929,464.1753,0.8207
Negative_none_pitchU4_tempo110,intra_category_nearest,0.803,25.6567,463.7674,0.8028
