final_mod_type,negative_tier,cosine_distance,euclidean_distance,manhattan_distance,pearson_distance
Negative_mgeldm_other_none,random,0.9427,63.3738,1604.6505,0.9426
Negative_mgeldm_other_pitchD2,global_nearest,0.4766,45.7387,1159.0373,0.4765
Negative_mgeldm_other_pitchD2,intra_category_nearest,0.5809,50.4118,1276.9953,0.5809
Negative_mgeldm_other_pitchD2,random,0.94,63.2397,1601.1897,0.9399
Negative_mgeldm_other_pitchD4,global_nearest,0.4766,45.7387,1159.0373,0.4765
Negative_mgeldm_other_pitchD4,intra_category_nearest,0.5849,50.7929,1285.287,0.5848
Negative_mgeldm_other_pitchD4,random,0.9355,63.4256,1608.4189,0.9355
Negative_mgeldm_other_pitchD4_tempo090,global_nearest,0.4766,45.7387,1159.0373,0.4765
Negative_mgeldm_other_pitchD4_tempo090,intra_category_nearest,0.6046,51.4295,1302.006,0.6045
Negative_mgeldm_other_pitchD4_tempo090,random,0.943,63.3399,1604.1387,0.943
Negative_mgeldm_other_pitchU2,global_nearest,0.4766,45.7387,1159.0373,0.4765
Negative_mgeldm_other_pitchU2,intra_category_nearest,0.5848,50.7612,1287.1265,0.5847
Negative_mgeldm_other_pitchU2,random,0.9407,63.9248,1618.302,0.9406
Negative_mgeldm_other_pitchU4,global_nearest,0.4766,45.7387,1159.0373,0.4765
Negative_mgeldm_other_pitchU4,intra_category_nearest,0.5835,50.6421,1282.6822,0.5835
Negative_mgeldm_other_pitchU4,random,0.93,63.0386,1596.7696,0.93
Negative_mgeldm_other_pitchU4_tempo110,global_nearest,0.4766,45.7387,1159.0373,0.4765
Negative_mgeldm_other_pitchU4_tempo110,intra_category_nearest,0.5903,50.8093,1288.9573,0.5902
Negative_mgeldm_other_pitchU4_tempo110,random,0.9431,63.2778,1605.168,0.943
Negative_mgeldm_other_tempo090,global_nearest,0.4766,45.7387,1159.0373,0.4765
Negative_mgeldm_other_tempo090,intra_category_nearest,0.5896,50.9612,1291.2163,0.5895
Negative_mgeldm_other_tempo090,random,0.9277,63.1135,1598.1698,0.9276
Negative_mgeldm_other_tempo095,global_nearest,0.4766,45.7387,1159.0373,0.4765
Negative_mgeldm_other_tempo095,intra_category_nearest,0.5872,50.8745,1288.3594,0.5871
Negative_mgeldm_other_tempo095,random,0.929,63.2452,1602.7235,0.9289
Negative_mgeldm_other_tempo105,global_nearest,0.4766,45.7387,1159.0373,0.4765
Negative_mgeldm_other_tempo105,intra_category_nearest,0.5792,50.6211,1282.5718,0.5792
Negative_mgeldm_other_tempo105,random,0.9377,63.563,1610.081,0.9377
Negative_mgeldm_other_tempo110,global_nearest,0.4766,45.7387,1159.0373,0.4765
Negative_mgeldm_other_tempo110,intra_category_nearest,0.5807,50.6644,1283.3824,0.5807
