Modification_Type,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
mgeldm_bass_pitchD4_tempo090,0.042720139494333044,0.5821782178217821,0.07959929606064708,0.05243819783826205,588,13176,422,223788
mgeldm_bass_pitchU2,0.04838942654918388,0.6633663366336634,0.09019924609585353,0.05940348263999716,670,13176,340,223788
mgeldm_bass_pitchU4,0.04811443433029909,0.6594059405940594,0.0896848909237813,0.05906559296179361,666,13176,344,223788
mgeldm_bass_pitchU4_tempo110,0.04265058490154763,0.5811881188118811,0.0794693021051919,0.05235275230994256,587,13176,423,223788
mgeldm_bass_tempo090,0.05167698287030373,0.7108910891089109,0.09634997316156736,0.06344325451525112,718,13176,292,223788
mgeldm_bass_tempo095,0.0526996908476526,0.7257425742574257,0.09826395871036933,0.0647000670832892,733,13176,277,223788
mgeldm_bass_tempo105,0.0520863309352518,0.7168316831683168,0.0971160295103957,0.06394629924041689,724,13176,286,223788
mgeldm_bass_tempo110,0.0511306351721158,0.7029702970297029,0.09532760472610097,0.06277186405912932,710,13176,300,223788
mgeldm_drums_none,0.04583966978057789,0.6261127596439169,0.0854251012145749,0.056269667715611496,633,13176,378,223788
mgeldm_drums_pitchD2,0.03993004954823667,0.5420375865479723,0.07438072616219885,0.04900996297422505,548,13176,463,223788
mgeldm_drums_pitchD4,0.03887956816689766,0.5272007912957468,0.07241847826086957,0.04771966264973947,533,13176,478,223788
mgeldm_drums_pitchD4_tempo090,0.03852889667250438,0.5222551928783383,0.07176350662589194,0.047288946208823686,528,13176,483,223788
mgeldm_drums_pitchU2,0.041745454545454544,0.5677546983184966,0.07777250863762618,0.05123993501276535,574,13176,437,223788
mgeldm_drums_pitchU4,0.040768782760629,0.5539070227497527,0.07594765036956669,0.05004021088374587,560,13176,451,223788
mgeldm_drums_pitchU4_tempo110,0.0385990514410799,0.52324431256182,0.07189453655884752,0.04737511418387634,529,13176,482,223788
mgeldm_drums_tempo090,0.04146660846791794,0.5637982195845698,0.07725147387680423,0.050897401553710156,570,13176,441,223788
mgeldm_drums_tempo095,0.04146660846791794,0.5637982195845698,0.07725147387680423,0.050897401553710156,570,13176,441,223788
