feature,importance_mean,importance_std,family
clews_topdim_280,0.0007394617981077989,0.00022028034264456688,CLEWS Raw Top-K Dims
clews_topdim_726,0.0007366687344052547,0.0002825667503646885,CLEWS Raw Top-K Dims
clews_topdim_586,0.0007349422076290635,0.0004626614765594441,CLEWS Raw Top-K Dims
clews_topdim_77,0.0007332476726428672,0.0002155946393389235,CLEWS Raw Top-K Dims
clews_topdim_223,0.0007318258302536629,0.0004319280757811847,CLEWS Raw Top-K Dims
clews_topdim_863,0.0007277390340494127,0.0005484260366755551,CLEWS Raw Top-K Dims
clews_topdim_826,0.0007267291381047424,0.00016614498107611682,CLEWS Raw Top-K Dims
clews_topdim_195,0.0007262576857639758,0.0004952740884478211,CLEWS Raw Top-K Dims
clews_topdim_653,0.0007106603049604309,0.00014925284919753561,CLEWS Raw Top-K Dims
clews_topdim_638,0.0007091604346813219,0.0005235402978867546,CLEWS Raw Top-K Dims
clews_topdim_612,0.0007088858182402235,0.00029426797774933497,CLEWS Raw Top-K Dims
clews_topdim_539,0.0007051149265893342,0.0009615583040521716,CLEWS Raw Top-K Dims
clews_topdim_139,0.0006903870416995917,0.00013711441823937754,CLEWS Raw Top-K Dims
clews_topdim_977,0.00068875990304067,0.0002645180513244873,CLEWS Raw Top-K Dims
clews_topdim_120,0.0006876502022610254,0.00061224284779215,CLEWS Raw Top-K Dims
clews_topdim_472,0.0006845798129806457,0.0003993445130247174,CLEWS Raw Top-K Dims
clews_topdim_596,0.0006827386416851988,0.0002681862239498894,CLEWS Raw Top-K Dims
clews_topdim_673,0.0006632781992974346,0.00047790086869155073,CLEWS Raw Top-K Dims
clews_topdim_897,0.0006594246592738218,0.0002291499007113268,CLEWS Raw Top-K Dims
clews_topdim_850,0.0006586083884771998,0.00032065137065767044,CLEWS Raw Top-K Dims
clews_topdim_707,0.0006586019345173888,0.0004840279806563161,CLEWS Raw Top-K Dims
clews_topdim_654,0.0006517741559074252,0.0002042489438553148,CLEWS Raw Top-K Dims
clews_topdim_916,0.0006517725056860213,0.00021585154952735068,CLEWS Raw Top-K Dims
clews_topdim_501,0.0006397924628457341,0.0004411241572303255,CLEWS Raw Top-K Dims
clews_topdim_442,0.0006394610727632922,0.0003323786816535471,CLEWS Raw Top-K Dims
clews_topdim_929,0.000627814508151614,0.00034619413158583275,CLEWS Raw Top-K Dims
clews_topdim_680,0.0006269678583088467,0.0004286596796725251,CLEWS Raw Top-K Dims
clews_topdim_763,0.0006163016312801028,0.00026888674274131775,CLEWS Raw Top-K Dims
clews_topdim_727,0.0006157926396477498,0.0002825597552511289,CLEWS Raw Top-K Dims
clews_topdim_810,0.0006033976854807443,0.0005509070188437909,CLEWS Raw Top-K Dims
clews_topdim_489,0.000600873799197954,0.00016892053553833135,CLEWS Raw Top-K Dims
clews_topdim_354,0.0005985329301440023,0.00031746889291128674,CLEWS Raw Top-K Dims
clews_topdim_606,0.0005964772888614079,0.00033009539733521034,CLEWS Raw Top-K Dims
clews_topdim_243,0.0005942959370228484,0.0002084629530885746,CLEWS Raw Top-K Dims
clews_topdim_345,0.0005855514343527934,0.00031131622701961547,CLEWS Raw Top-K Dims
clews_topdim_603,0.0005854848301481308,0.0004343676881583494,CLEWS Raw Top-K Dims
clews_topdim_141,0.0005742992222377508,0.0010462514172593005,CLEWS Raw Top-K Dims
clews_topdim_1001,0.0005713438611265831,0.0010276323646132418,CLEWS Raw Top-K Dims
clews_topdim_551,0.0005586142404839344,0.000343867483913291,CLEWS Raw Top-K Dims
clews_topdim_846,0.0005557732335927268,0.0003562613014618975,CLEWS Raw Top-K Dims
clews_topdim_666,0.0005555721279016046,0.000201496826738959,CLEWS Raw Top-K Dims
clews_topdim_457,0.0005450693212319501,7.171424454224156e-05,CLEWS Raw Top-K Dims
clews_topdim_353,0.00054002422716386,0.00025577786083824975,CLEWS Raw Top-K Dims
clews_topdim_861,0.0005383083988179438,0.00032382249689383535,CLEWS Raw Top-K Dims
wealy_delta_std,0.0005346271849900663,0.0003115702960359093,WEALY Delta Summaries
clews_topdim_28,0.0005314548021482013,0.00020981282182620009,CLEWS Raw Top-K Dims
clews_topdim_932,0.0005304130253100281,0.0006107449759756776,CLEWS Raw Top-K Dims
clews_topdim_648,0.0005300273396688481,0.00019572327271872396,CLEWS Raw Top-K Dims
clews_topdim_137,0.0005264982366429916,0.00020161603477274653,CLEWS Raw Top-K Dims
clews_topdim_184,0.0005200269857719375,0.0001644015536369539,CLEWS Raw Top-K Dims
clews_topdim_364,0.0005183108507962553,0.0004376448132388469,CLEWS Raw Top-K Dims
clews_topdim_620,0.0005181675140364383,0.00013669535607073127,CLEWS Raw Top-K Dims
clews_topdim_100,0.0005147783595890853,0.00020581263788013607,CLEWS Raw Top-K Dims
clews_topdim_971,0.0005114812867011321,0.0003430125871002207,CLEWS Raw Top-K Dims
clews_topdim_762,0.000509600699670254,0.000401567266419165,CLEWS Raw Top-K Dims
clews_topdim_196,0.0004960729594822855,0.0004117028711674562,CLEWS Raw Top-K Dims
clews_topdim_407,0.0004946475646530723,0.00019602326597102575,CLEWS Raw Top-K Dims
clews_topdim_804,0.000489399370319532,0.0002453050010435977,CLEWS Raw Top-K Dims
clews_topdim_149,0.0004877198611094258,0.00020645604362220995,CLEWS Raw Top-K Dims
clews_topdim_3,0.0004841430378183409,0.00014768979699789246,CLEWS Raw Top-K Dims
clews_topdim_642,0.0004827310396351425,0.00017177522598452302,CLEWS Raw Top-K Dims
clews_topdim_692,0.0004826057586216237,0.0003871802922300257,CLEWS Raw Top-K Dims
clews_topdim_898,0.0004823807008740522,0.0003704831134061601,CLEWS Raw Top-K Dims
clews_topdim_647,0.0004810038994766508,0.00021730079601747386,CLEWS Raw Top-K Dims
clews_topdim_423,0.0004753901381961967,0.00019925791410535775,CLEWS Raw Top-K Dims
clews_topdim_874,0.0004739968572348596,0.0003449838938214676,CLEWS Raw Top-K Dims
clews_topdim_924,0.00047247840199100556,0.0003272880009257097,CLEWS Raw Top-K Dims
clews_topdim_150,0.00047042921116517976,0.0004317402737910667,CLEWS Raw Top-K Dims
clews_topdim_402,0.00046907898016244063,0.0003355325980325783,CLEWS Raw Top-K Dims
clews_topdim_253,0.0004555563855697109,0.00042900806003298903,CLEWS Raw Top-K Dims
clews_topdim_710,0.00043826868471468216,0.00011348316910610622,CLEWS Raw Top-K Dims
clews_topdim_211,0.00043683054883767445,0.0003694884904050442,CLEWS Raw Top-K Dims
clews_topdim_487,0.000426918672469534,0.00019215115676092358,CLEWS Raw Top-K Dims
clews_topdim_57,0.0004248472608363807,0.00024583960310917857,CLEWS Raw Top-K Dims
clews_topdim_256,0.00042482043731975063,0.00021351822372895875,CLEWS Raw Top-K Dims
