clews_metric,wealy_metric,alpha,beta,internal_val_f1_score
euclidean_distance,pearson_distance,0.25,0.75,0.7581
euclidean_distance,pearson_distance,0.3,0.7,0.7582
euclidean_distance,pearson_distance,0.35,0.65,0.7584
euclidean_distance,pearson_distance,0.4,0.6,0.7593
euclidean_distance,pearson_distance,0.45,0.55,0.7596
euclidean_distance,pearson_distance,0.5,0.5,0.7591
euclidean_distance,pearson_distance,0.55,0.45,0.7601
euclidean_distance,pearson_distance,0.6,0.4,0.7605
euclidean_distance,pearson_distance,0.65,0.35,0.7613
euclidean_distance,pearson_distance,0.7,0.3,0.7589
euclidean_distance,pearson_distance,0.75,0.25,0.762
euclidean_distance,pearson_distance,0.8,0.2,0.7609
euclidean_distance,pearson_distance,0.85,0.15,0.76
euclidean_distance,pearson_distance,0.9,0.1,0.7605
euclidean_distance,pearson_distance,0.95,0.05,0.7574
euclidean_distance,pearson_distance,1.0,0.0,0.7588
manhattan_distance,cosine_distance,0.0,1.0,0.7586
manhattan_distance,cosine_distance,0.05,0.95,0.7587
manhattan_distance,cosine_distance,0.1,0.9,0.7587
manhattan_distance,cosine_distance,0.15,0.85,0.7581
manhattan_distance,cosine_distance,0.2,0.8,0.7581
manhattan_distance,cosine_distance,0.25,0.75,0.7581
manhattan_distance,cosine_distance,0.3,0.7,0.7584
manhattan_distance,cosine_distance,0.35,0.65,0.7584
manhattan_distance,cosine_distance,0.4,0.6,0.7589
manhattan_distance,cosine_distance,0.45,0.55,0.7598
manhattan_distance,cosine_distance,0.5,0.5,0.7584
manhattan_distance,cosine_distance,0.55,0.45,0.7594
manhattan_distance,cosine_distance,0.6,0.4,0.7605
manhattan_distance,cosine_distance,0.65,0.35,0.7606
manhattan_distance,cosine_distance,0.7,0.3,0.7611
manhattan_distance,cosine_distance,0.75,0.25,0.7605
manhattan_distance,cosine_distance,0.8,0.2,0.7606
manhattan_distance,cosine_distance,0.85,0.15,0.7604
manhattan_distance,cosine_distance,0.9,0.1,0.759
manhattan_distance,cosine_distance,0.95,0.05,0.7578
manhattan_distance,cosine_distance,1.0,0.0,0.7606
manhattan_distance,euclidean_distance,0.0,1.0,0.7587
manhattan_distance,euclidean_distance,0.05,0.95,0.7584
manhattan_distance,euclidean_distance,0.1,0.9,0.7589
manhattan_distance,euclidean_distance,0.15,0.85,0.76
manhattan_distance,euclidean_distance,0.2,0.8,0.7599
manhattan_distance,euclidean_distance,0.25,0.75,0.7608
manhattan_distance,euclidean_distance,0.3,0.7,0.7625
manhattan_distance,euclidean_distance,0.35,0.65,0.7638
manhattan_distance,euclidean_distance,0.4,0.6,0.766
manhattan_distance,euclidean_distance,0.45,0.55,0.7676
manhattan_distance,euclidean_distance,0.5,0.5,0.7692
manhattan_distance,euclidean_distance,0.55,0.45,0.7709
manhattan_distance,euclidean_distance,0.6,0.4,0.7714
manhattan_distance,euclidean_distance,0.65,0.35,0.7718
manhattan_distance,euclidean_distance,0.7,0.3,0.7703
manhattan_distance,euclidean_distance,0.75,0.25,0.7695
manhattan_distance,euclidean_distance,0.8,0.2,0.7676
manhattan_distance,euclidean_distance,0.85,0.15,0.7655
manhattan_distance,euclidean_distance,0.9,0.1,0.7616
manhattan_distance,euclidean_distance,0.95,0.05,0.7586
manhattan_distance,euclidean_distance,1.0,0.0,0.7606
manhattan_distance,manhattan_distance,0.0,1.0,0.7587
manhattan_distance,manhattan_distance,0.05,0.95,0.7587
manhattan_distance,manhattan_distance,0.1,0.9,0.7592
manhattan_distance,manhattan_distance,0.15,0.85,0.7595
manhattan_distance,manhattan_distance,0.2,0.8,0.7601
manhattan_distance,manhattan_distance,0.25,0.75,0.762
manhattan_distance,manhattan_distance,0.3,0.7,0.7628
manhattan_distance,manhattan_distance,0.35,0.65,0.7636
manhattan_distance,manhattan_distance,0.4,0.6,0.7659
manhattan_distance,manhattan_distance,0.45,0.55,0.7673
manhattan_distance,manhattan_distance,0.5,0.5,0.7691
manhattan_distance,manhattan_distance,0.55,0.45,0.7713
manhattan_distance,manhattan_distance,0.6,0.4,0.7697
manhattan_distance,manhattan_distance,0.65,0.35,0.7699
manhattan_distance,manhattan_distance,0.7,0.3,0.7691
manhattan_distance,manhattan_distance,0.75,0.25,0.7689
manhattan_distance,manhattan_distance,0.8,0.2,0.7666
manhattan_distance,manhattan_distance,0.85,0.15,0.7659
manhattan_distance,manhattan_distance,0.9,0.1,0.7619
manhattan_distance,manhattan_distance,0.95,0.05,0.7588
manhattan_distance,manhattan_distance,1.0,0.0,0.7606
manhattan_distance,pearson_distance,0.0,1.0,0.7586
manhattan_distance,pearson_distance,0.05,0.95,0.7586
manhattan_distance,pearson_distance,0.1,0.9,0.758
manhattan_distance,pearson_distance,0.15,0.85,0.7581
manhattan_distance,pearson_distance,0.2,0.8,0.7582
manhattan_distance,pearson_distance,0.25,0.75,0.7581
